I ,put,,,garabage,,,,
in ,thes ,cells,,,,,,
DD,FirstAngle,SecondAngle,Height,Distance,AvgScore,,,
1.6,22,1,13.02,10.25,5.5,,,
1.5,13,11,12.09,8.65,5,,,
1.5,32,6,10.72,12.39,4.5,,,
1.7,28,22,12.57,8.98,4.5,,,
1.4,1,0,12.75,8.06,4.67,,,
1.6,10,10,13.16,8.84,5,,,
1.6,4,8,14.77,7.69,3.83,,,
1.6,4,15,13.38,5.66,5.17,,,
1.5,1,20,14.54,7.73,5.33,,,
1.6,0,0,12.65,5.92,5.83,,,
1.5,11,13,12.64,6.32,6.33,,,
2,29,43,12.72,9.47,4.17,,,
2.3,18,4,11.46,9.52,5.33,,,
1.6,0,0,12.65,7.8,5.67,,,
1.6,0,0,11.36,8.87,4.83,,,
1.3,0,8,15.79,6.1,5.67,,,
1.6,0,1,12.79,6.88,5,,,
1.7,10,15,10.58,8.32,4.83,,,
1.5,5,13,14.54,4.82,6.33,,,
2.2,6,18,11.4,5.42,6.33,,,
1.6,0,24,13.02,8.16,7,,,
2,20,53,12.76,8.18,5.33,,,
1.7,0,0,13.44,6.94,6.83,,,
2.1,11,21,11.11,5.89,5.33,,,
1.7,21,24,13.94,9.4,6.5,,,
1.7,20,15,13.16,8.02,5.5,,,
2.2,30,64,12.77,9.72,4.33,,,
1.3,21,0,15.3,13.08,4.17,,,
1.4,0,0,13.65,8.21,4.17,,,
1.6,21,27,12.46,14.15,4.33,,,
1.6,10,34,11.91,8.33,4.5,,,
1.7,16,10,10.89,12.56,3.67,,,
1.7,3,10,12.71,13.07,3.67,,,
1.6,1,31,11.21,10.98,3.5,,,
1.6,15,27,11.02,12,3.5,,,
1.8,15,4,11.87,13.43,4.5,,,
1.4,20,0,13.48,13.91,4,,,
1.6,11,23,13.98,11.92,5.5,,,
2.2,3,41,11.48,12.02,4.5,,,
1.6,9,3,13.84,13.47,4.5,,,
1.9,36,64,11.74,12.62,3.5,,,
1.7,0,0,12.71,14.22,4.33,,,
1.5,8,16,14.31,6.9,5.17,,,
2.2,28,19,10.15,6.76,4.17,,,
1.7,24,24,11.35,10.71,4.83,,,
1.7,40,46,10.66,14.84,4.17,,,
2.2,16,45,11.3,14.13,2.83,,,
1.6,28,32,13.52,8.72,3,,,
1.7,33,34,13.77,13.11,4,,,
1.9,51,90,10.93,15.25,1.83,,,
2.2,0,13,8.81,7.49,4.5,,,
1.7,6,20,13.05,10.58,4.17,,,
1.6,0,10,12.22,10.16,4.83,,,
1.9,26,24,11.04,12.79,3.67,,,
1.7,11,61,11.74,7.93,2.67,,,
1.6,13,22,14.37,6.59,5.5,,,
2,18,42,14.11,12.05,5.5,,,
2.1,0,24,15.04,11.46,4.67,,,
2.4,5,21,14.37,12.1,4.33,,,
1.7,23,1,15,8.91,6.17,,,
1.4,0,1,16.13,7.73,5.5,,,
2.3,21,13,8.29,8.87,5,,,
2.2,26,64,8.76,5.7,4.33,,,
1.5,17,17,15.57,8.39,4,,,
1.7,36,36,14.05,15.22,4,,,
2.4,18,90,13,15.08,2.83,,,
2.2,23,16,13.24,8.92,4.17,,,
1.9,38,20,15.1,11.63,4,,,
1.6,8,8,13.67,8.06,4.5,,,
2.3,10,44,15,8.8,4,,,
2.2,0,33,13.78,9.58,4.17,,,
1.7,37,25,12.41,6.69,4.33,,,
1.7,9,6,16.23,8.04,5.5,,,
1.7,33,90,16,11.35,2.17,,,
2.2,24,58,15.94,10.92,4,,,
1.9,5,5,16.19,8.9,4.67,,,
2.2,5,90,10,8.25,3.33,,,
1.8,15,12,16.83,10.9,5.33,,,
2.3,6,76,14.29,9.67,2.67,,,
2.2,7,1,14.54,5.3,4,,,
1.7,50,39,14.91,8.26,4.5,,,
1.6,17,36,13.19,11.15,5,,,
2.2,34,27,13.6,12.09,4.83,,,
2.2,7,24,12.02,7.05,4.5,,,
1.9,11,6,13.61,9.91,6,,,
1.5,2,6,11.52,12.25,3.33,,,
1.7,15,41,13.35,8.57,2.5,,,
1.6,20,4,13.72,10.26,4,,,
1.6,0,19,14.04,11.78,3,,,
2.3,9,1,14.11,14.42,4.33,,,
1.5,14,31,15.51,10.02,4.67,,,
1.4,26,20,14.67,10.86,5.17,,,
1.7,20,0,13,8.07,5.67,,,
1.7,0,40,12.81,12.37,4,,,
1.8,15,13,15.08,10.25,4.83,,,
2.2,17,59,9.44,6.67,3.67,,,
1.8,35,25,13.75,12.49,5,,,
1.5,0,5,15.12,7.04,5.67,,,
1.6,2,1,13.98,9.45,4.5,,,
2.3,69,47,11.39,6.76,3.83,,,
1.4,19,19,14.25,7.49,5.17,,,
1.7,24,17,12.63,9.71,5.67,,,
1.7,8,33,13.71,9.42,5,,,
1.6,17,6,12.02,8.37,4.67,,,
1.8,16,24,13.81,7.75,4.5,,,
1.7,17,1,12.29,7.55,4.33,,,
2.3,57,57,12.04,12.75,2.17,,,
1.5,18,4,13.13,8.87,5,,,
1.9,0,17,11.98,8.55,4.17,,,
1.7,19,20,12.75,18.43,4,,,
2.3,10,29,15.51,17.75,4,,,
2.2,2,8,13.21,9.73,5,,,
2.2,11,29,14.98,10.41,5,,,
2.1,39,46,12.59,14.46,4.17,,,
1.5,10,1,14.73,9,4.83,,,
1.7,0,21,14.73,10.1,5,,,
1.7,31,38,14.44,12.25,4.33,,,
2.3,0,63,18.49,11.45,3.67,,,
